trial_count,FB,c_dis,context,response,rt,state,stim,trial_count,ts,rep_resp,switch,con_shape,con_orient,correct
1,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,j,0.4622189998626709,0,"(1, 2)",1,1,False,False,False,False,False
2,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.30000000000000004,k,0.8065090179443359,0,"(0, 3)",2,1,False,False,False,False,False
3,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-1.0,j,0.6636660099029541,0,"(0, 2)",3,1,False,False,False,False,False
4,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.9000000000000001,j,0.8612229824066162,0,"(1, 2)",4,1,True,False,False,False,False
5,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,k,1.0193939208984375,0,"(0, 3)",5,1,False,False,False,False,False
6,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.9000000000000001,k,0.9302811622619629,0,"(1, 3)",6,1,True,False,False,False,False
7,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,k,0.6559150218963623,0,"(0, 3)",7,1,True,False,False,False,False
8,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,k,0.5150468349456787,0,"(0, 3)",8,1,True,False,False,False,False
9,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,k,0.6632900238037109,0,"(1, 3)",9,1,True,False,False,False,False
10,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,k,0.40984416007995605,0,"(1, 3)",10,1,True,False,False,False,False
11,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,j,0.49829697608947754,0,"(0, 2)",11,1,False,False,False,False,False
12,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,j,0.7093429565429688,0,"(1, 2)",12,1,True,False,False,False,False
13,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,k,0.3330399990081787,0,"(0, 3)",13,1,False,False,False,False,False
14,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,j,0.41320204734802246,0,"(1, 2)",14,1,False,False,False,False,False
15,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-1.0,j,0.4638550281524658,0,"(0, 2)",15,1,True,False,False,False,False
16,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,j,0.4648900032043457,0,"(1, 2)",16,1,True,False,False,False,False
17,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,k,0.5592689514160156,1,"(0, 3)",17,0,False,True,False,False,False
18,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,d,0.7253589630126953,1,"(0, 2)",18,0,False,False,False,False,False
19,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,d,1.1461482048034668,1,"(1, 2)",19,0,True,False,False,False,False
20,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,d,0.7648718357086182,1,"(0, 3)",20,0,True,False,False,False,False
21,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.8999999999999999,d,0.6115641593933105,1,"(1, 2)",21,0,True,False,False,False,False
22,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,d,0.5564570426940918,1,"(0, 2)",22,0,True,False,False,False,False
23,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.8999999999999999,f,0.5222358703613281,1,"(0, 3)",23,0,False,False,False,False,False
24,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,f,0.5311930179595947,1,"(1, 2)",24,0,True,False,False,False,False
25,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,f,0.8947999477386475,1,"(0, 2)",25,0,True,False,False,False,False
26,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,k,0.7799861431121826,0,"(0, 3)",26,1,False,True,False,False,False
27,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,j,0.4970359802246094,0,"(0, 2)",27,1,False,False,False,False,False
28,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,k,0.5460069179534912,0,"(1, 3)",28,1,False,False,False,False,False
29,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,j,0.44498205184936523,1,"(0, 2)",29,0,False,True,False,False,False
30,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,k,0.7788069248199463,1,"(0, 3)",30,0,False,False,False,False,False
31,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,f,0.5379910469055176,1,"(1, 3)",31,0,False,False,False,False,False
32,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,f,0.5954220294952393,1,"(1, 3)",32,0,True,False,False,False,False
33,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.8999999999999999,f,0.4485440254211426,1,"(1, 3)",33,0,True,False,False,False,False
34,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.8999999999999999,f,0.4598689079284668,1,"(1, 3)",34,0,True,False,False,False,False
35,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,d,0.8495891094207764,1,"(0, 2)",35,0,False,False,False,False,False
36,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,d,1.0338590145111084,1,"(1, 2)",36,0,True,False,False,False,False
37,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,d,0.7049579620361328,1,"(0, 2)",37,0,True,False,False,False,False
38,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,d,0.6242330074310303,1,"(1, 2)",38,0,True,False,False,False,False
39,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,f,0.8803999423980713,1,"(1, 2)",39,0,False,False,False,False,False
40,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,f,1.106132984161377,1,"(0, 3)",40,0,True,False,False,False,False
41,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,d,0.6295909881591797,1,"(0, 3)",41,0,False,False,False,False,False
42,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,d,0.9994001388549805,1,"(0, 2)",42,0,True,False,False,False,False
43,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,f,1.1326448917388916,0,"(1, 3)",43,1,False,True,False,False,False
44,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,j,0.821173906326294,0,"(1, 2)",44,1,False,False,False,False,False
45,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,j,0.7217061519622803,0,"(0, 2)",45,1,True,False,False,False,False
46,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,j,0.5525071620941162,1,"(1, 2)",46,0,True,True,False,False,False
47,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,d,0.5524051189422607,1,"(0, 2)",47,0,False,False,False,False,False
48,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,f,0.5325789451599121,1,"(1, 3)",48,0,False,False,False,False,False
49,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,d,0.7213170528411865,1,"(1, 2)",49,0,False,False,False,False,False
50,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,f,0.8773598670959473,1,"(1, 3)",50,0,False,False,False,False,False
51,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.5,d,0.6043241024017334,0,"(0, 3)",51,1,False,True,False,False,False
53,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.9000000000000001,j,0.8269138336181641,0,"(1, 2)",53,1,False,False,False,False,False
54,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,j,1.0729269981384277,1,"(1, 2)",54,0,True,True,False,False,False
55,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,d,0.6534340381622314,1,"(1, 2)",55,0,False,False,False,False,False
56,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,f,0.767218828201294,1,"(1, 3)",56,0,False,False,False,False,False
57,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,d,0.35057616233825684,1,"(0, 2)",57,0,False,False,False,False,False
58,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,d,0.6096830368041992,1,"(0, 3)",58,0,True,False,False,False,False
59,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,d,0.6324958801269531,1,"(0, 2)",59,0,True,False,False,False,False
