trial_count,FBDuration,c_dis,context,response,rt,state,stim,trial_count,ts,rep_resp,switch,con_shape,con_orient,subj_switch,correct
1,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,2,0.6563949584960938,1,"(1, 2)",1,0,False,False,False,True,True,False
2,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,0,0.9243319034576416,1,"(0, 2)",2,0,False,False,True,False,True,True
3,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,3,0.7458009719848633,0,"(0, 3)",3,1,False,True,False,True,True,True
4,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,2,0.5215499401092529,0,"(1, 2)",4,1,False,False,False,True,False,True
5,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,2,0.43492889404296875,0,"(1, 2)",5,1,True,False,False,True,False,True
6,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,2,0.5418591499328613,0,"(0, 2)",6,1,True,False,False,True,False,True
8,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.8269541263580322,1,"(0, 2)",8,0,True,True,False,True,False,False
9,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,1,1.1419899463653564,1,"(1, 2)",9,0,False,False,True,False,True,True
10,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,1,0.851578950881958,1,"(1, 3)",10,0,True,False,True,False,False,True
11,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,1.1188960075378418,1,"(1, 2)",11,0,True,False,True,False,False,True
12,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,1.0228240489959717,1,"(0, 2)",12,0,False,False,True,False,False,True
13,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,1,1.0821950435638428,1,"(0, 3)",13,0,False,False,False,False,True,False
14,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,3,0.9302809238433838,0,"(0, 3)",14,1,False,True,False,True,False,True
15,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,3,0.8295788764953613,0,"(0, 3)",15,1,True,False,False,True,False,True
16,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,3,0.6843550205230713,0,"(1, 3)",16,1,True,False,False,True,False,True
17,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,0,0.7552220821380615,1,"(0, 2)",17,0,False,True,True,False,True,True
18,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,1,0.5585408210754395,1,"(1, 3)",18,0,False,False,True,False,False,True
19,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,1,0.7155101299285889,1,"(1, 2)",19,0,True,False,True,False,False,True
20,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,0,0.7456948757171631,1,"(0, 3)",20,0,False,False,True,False,False,True
21,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,1,0.6770360469818115,1,"(1, 2)",21,0,False,False,True,False,False,True
22,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,1,0.6121530532836914,1,"(1, 2)",22,0,True,False,True,False,False,True
23,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,1,0.6598701477050781,1,"(1, 3)",23,0,True,False,True,False,False,True
24,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,1.0176777839660645,1,"(1, 2)",24,0,True,False,True,False,False,True
25,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,0,0.6048839092254639,1,"(0, 3)",25,0,False,False,True,False,False,True
26,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.8288910388946533,0,"(0, 2)",26,1,True,True,True,False,False,False
27,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.8541359901428223,0,"(1, 2)",27,1,False,False,True,False,False,False
28,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,2,1.0877978801727295,0,"(1, 2)",28,1,False,False,False,True,True,True
29,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,1,1.2959489822387695,1,"(1, 2)",29,0,False,True,True,False,True,True
30,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,1,0.7445018291473389,1,"(1, 3)",30,0,True,False,True,False,False,True
31,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,1,0.8076341152191162,1,"(1, 3)",31,0,True,False,True,False,False,True
32,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.7437160015106201,1,"(1, 2)",32,0,True,False,True,False,False,True
33,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,0,0.45725011825561523,1,"(0, 3)",33,0,False,False,True,False,False,True
34,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,0,0.3930699825286865,1,"(0, 2)",34,0,True,False,True,False,False,True
