trial_count,FBDuration,c_dis,context,response,rt,state,stim,trial_count,ts,rep_resp,switch,con_shape,con_orient,subj_switch,correct,ts0_posterior_ignore,ts0_posterior_single,ts0_posterior_optimal,smoothed_ts0_ignore,smoothed_ts0_single,smoothed_ts0_optimal,smoothed_context
1,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,2,0.6563949584960938,1,"(1, 2)",1,0,False,False,False,True,True,False,0.7883199905594676,0.7883199905594676,0.7883199905594676,0.7883199905594676,0.7883199905594676,0.7883199905594676,-0.30000000000000004
2,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,0,0.9243319034576416,1,"(0, 2)",2,0,False,False,True,False,True,True,0.21168000944053236,0.7073185337505506,0.42143752434002874,0.4038933364801774,0.734319019353523,0.5437316797465083,0.10000000000000002
3,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,3,0.7458009719848633,0,"(0, 3)",3,1,False,True,False,True,True,True,0.7883199905594676,0.9710287725511645,0.7430900582069241,0.6235657102397718,0.869581735466461,0.6576507531524601,-0.1285714285714286
4,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,2,0.5215499401092529,0,"(1, 2)",4,1,False,False,False,True,False,True,0.6078481866369821,0.933111690027748,0.7789205222436982,0.6151830309849505,0.9034643778991474,0.7223279633344538,-0.11333333333333338
5,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,2,0.43492889404296875,0,"(1, 2)",5,1,True,False,False,True,False,True,0.7883199905594676,0.9710287725511645,0.9067769362033407,0.7045440423782496,0.9383363235259949,0.8175274332022664,-0.20967741935483877
6,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,2,0.5418591499328613,0,"(0, 2)",6,1,True,False,False,True,False,True,0.7883199905594676,0.9710287725511645,0.9462594192584651,0.7470969049464873,0.9549420119197319,0.8829151086593833,-0.2555555555555556
8,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.8269541263580322,1,"(0, 2)",8,0,True,True,False,True,False,False,0.21168000944053236,0.7073185337505506,0.6167618652272051,0.4772805166600218,0.830155377251798,0.7487906395282069,0.024409448818897648
9,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,1,1.1419899463653564,1,"(1, 2)",9,0,False,False,True,False,True,True,0.10052719154610551,0.501460997736269,0.14023947170985365,0.28816512209303635,0.6651636887106697,0.4433218180350727,0.26313725490196077
10,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,1,0.851578950881958,1,"(1, 3)",10,0,True,False,True,False,False,True,0.39215181336301785,0.8530779137454413,0.14804196092969296,0.3402602159582326,0.7593046703327861,0.29539296594314074,0.1814090019569472
11,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,1.1188960075378418,1,"(1, 2)",11,0,True,False,True,False,False,True,0.6078481866369821,0.933111690027748,0.3022635566922639,0.47418498720703,0.8462931298477621,0.29883161937769703,0.0405669599217986
12,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,1.0228240489959717,1,"(0, 2)",12,0,False,False,True,False,False,True,0.6078481866369821,0.933111690027748,0.4459720771810106,0.5410492354807335,0.8897236162299339,0.37243778879176304,-0.029750854909623897
13,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,1,1.0821950435638428,1,"(0, 3)",13,0,False,False,False,False,True,False,0.39215181336301785,0.8530779137454413,0.3516947456949237,0.46658234402845467,0.8713962905429398,0.36206373451524854,0.03514041514041515
14,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,3,0.9302809238433838,0,"(0, 3)",14,1,False,True,False,True,False,True,0.8994728084538944,0.9877342777284374,0.8465225310047211,0.6830540010039889,0.9295723857098056,0.6043227053882652,-0.23246245879623975
15,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,3,0.8295788764953613,0,"(0, 3)",15,1,True,False,False,True,False,True,0.6078481866369821,0.933111690027748,0.8439350697236808,0.6454487985810798,0.9313421458863658,0.7241362003913614,-0.16622718671793937
16,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,3,0.6843550205230713,0,"(1, 3)",16,1,True,False,False,True,False,True,0.9555504531417355,0.9948579972909842,0.986686117556006,0.8005043577815493,0.9631010407932316,0.8554151652897511,-0.43312173833429984
17,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,0,0.7552220821380615,1,"(0, 2)",17,0,False,True,True,False,True,True,0.10052719154610551,0.501460997736269,0.47320743402394994,0.45051043418037395,0.7322774971769875,0.6643083835987802,0.033446250095368855
18,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,1,0.5585408210754395,1,"(1, 3)",18,0,False,False,True,False,False,True,0.044449546858264494,0.2951069574554525,0.040944887564196376,0.2474784415081447,0.5136905596302341,0.35262425762032207,0.3667256677678509
19,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,1,0.7155101299285889,1,"(1, 2)",19,0,True,False,True,False,False,True,0.21168000944053236,0.028971227448835405,0.03948166691235139,0.22957915719398758,0.2713299690072524,0.19605236499196604,0.3333627066143288
20,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,0,0.7456948757171631,1,"(0, 3)",20,0,False,False,True,False,False,True,0.10052719154610551,0.012265722271562569,0.016652629048208994,0.16505305129626668,0.14179759857601787,0.10635232593084065,0.4166815122251744
21,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,1,0.6770360469818115,1,"(1, 2)",21,0,False,False,True,False,False,True,0.21168000944053236,0.028971227448835405,0.03317965243166561,0.18836655260188695,0.08538435921256915,0.06976595428977017,0.35834070047445343
22,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,1,0.6121530532836914,1,"(1, 2)",22,0,True,False,True,False,False,True,0.39215181336301785,0.06688830997225197,0.08547770134316472,0.2902592315686679,0.07613633018260667,0.07762183156244164,0.22917028864397468
23,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,1,0.6598701477050781,1,"(1, 3)",23,0,True,False,True,False,False,True,0.10052719154610551,0.012265722271562569,0.022128380723396072,0.19539318893955962,0.04420101861311301,0.04987509952758243,0.3645851766074125
24,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,1.0176777839660645,1,"(1, 2)",24,0,True,False,True,False,False,True,0.6078481866369821,0.14692208625455871,0.17134980972485395,0.40162071237250746,0.09556155855648935,0.11061246186667599,0.1322925606122685
25,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,0,0.6048839092254639,1,"(0, 3)",25,0,False,False,True,False,False,True,0.21168000944053236,0.028971227448835405,0.07701699405697608,0.3066503552458455,0.062266391018115735,0.09381472696060301,0.21614628530420574
26,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.8288910388946533,0,"(0, 2)",26,1,True,True,True,False,False,False,0.6078481866369821,0.14692208625455871,0.23005605582174735,0.4572492754296114,0.10459423989780542,0.16193539342132926,0.05807313794115593
27,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.8541359901428223,0,"(1, 2)",27,1,False,False,True,False,False,False,0.6078481866369821,0.14692208625455871,0.38078696788158606,0.5325487321553461,0.1257581633915491,0.271361182282029,-0.020963432207158753
28,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,2,1.0877978801727295,0,"(1, 2)",28,1,False,False,False,True,True,True,0.7883199905594676,0.29268146624944924,0.7167945359219675,0.6604343623102291,0.20921981544233695,0.49407786076136684,-0.16048171714307163
29,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,1,1.2959489822387695,1,"(1, 2)",29,0,False,True,True,False,True,True,0.21168000944053236,0.028971227448835405,0.35639098705183403,0.4360571850395106,0.11909552110984702,0.42523442365013864,0.06975914228617824
30,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,1,0.7445018291473389,1,"(1, 3)",30,0,True,False,True,False,False,True,0.21168000944053236,0.028971227448835405,0.14396624534994742,0.323868597031054,0.07403337419540641,0.28460033423809167,0.18487957135751765
