trial_count,FBDuration,c_dis,context,response,rt,state,stim,trial_count,ts,rep_resp,switch,con_shape,con_orient,subj_switch,correct
1,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,3,0.9221889972686768,1,"(1, 3)",1,1,False,False,False,True,True,True
2,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,2,0.9291009902954102,1,"(0, 3)",2,1,False,False,False,False,False,False
3,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,2,0.4190220832824707,1,"(1, 2)",3,1,True,False,False,True,False,True
4,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,3,0.5424718856811523,1,"(0, 3)",4,1,False,False,False,True,False,True
5,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,3,0.7419872283935547,1,"(0, 3)",5,1,True,False,False,True,False,True
6,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,2,0.5668740272521973,1,"(0, 2)",6,1,False,False,False,True,False,True
7,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.89717698097229,1,"(0, 2)",7,1,False,False,False,False,False,False
8,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,3,1.2522921562194824,1,"(1, 3)",8,1,False,False,False,True,False,True
9,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,3,0.9979491233825684,1,"(0, 3)",9,1,True,False,False,True,False,True
10,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,2,0.4641759395599365,1,"(1, 2)",10,1,False,False,False,True,False,True
11,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,1.305819034576416,1,"(1, 3)",11,1,False,False,False,False,False,False
12,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,1,0.951530933380127,0,"(1, 2)",12,0,False,True,True,False,True,True
13,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.9000000000000001,0,0.9121150970458984,0,"(0, 2)",13,0,False,False,True,False,False,True
14,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.30000000000000004,3,0.8814020156860352,0,"(1, 3)",14,0,False,False,False,True,True,False
15,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-1.0,3,1.324265956878662,0,"(1, 3)",15,0,True,False,False,True,False,False
16,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,1.2830660343170166,0,"(1, 3)",16,0,False,False,True,False,True,True
17,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,0,0.7292771339416504,0,"(0, 2)",17,0,False,False,True,False,False,True
18,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,1,0.6035919189453125,0,"(1, 2)",18,0,False,False,True,False,False,True
