trial_count,FBDuration,c_dis,context,response,rt,state,stim,trial_count,ts,rep_resp,switch,con_shape,con_orient,subj_switch,correct,ts0_posterior_ignore,ts0_posterior_single,ts0_posterior_optimal,smoothed_ts0_ignore,smoothed_ts0_single,smoothed_ts0_optimal,smoothed_context
1,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,3,0.9221889972686768,1,"(1, 3)",1,1,False,False,False,True,True,True,0.044449546858264494,0.044449546858264494,0.044449546858264494,0.044449546858264494,0.044449546858264494,0.044449546858264494,0.7
2,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,2,0.9291009902954102,1,"(0, 3)",2,1,False,False,False,False,False,False,0.10052719154610551,0.012265722271562569,0.017224444267744318,0.08183464331682518,0.02299366380046321,0.026299478464584376,0.5666666666666667
3,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,2,0.4190220832824707,1,"(1, 2)",3,1,True,False,False,True,False,True,0.10052719154610551,0.012265722271562569,0.014145901342890434,0.09251609944784252,0.016863411498234275,0.019354577252187838,0.5285714285714286
4,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,3,0.5424718856811523,1,"(0, 3)",4,1,False,False,False,True,False,True,0.044449546858264494,0.005142002709015806,0.005793005302161498,0.0668806047334009,0.010611993477317757,0.012121738878840457,0.62
5,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,3,0.7419872283935547,1,"(0, 3)",5,1,True,False,False,True,False,True,0.044449546858264494,0.005142002709015806,0.005406713310533716,0.05530328453978211,0.007788772435613524,0.00865591923068214,0.6612903225806451
6,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,2,0.5668740272521973,1,"(0, 2)",6,1,False,False,False,True,False,True,0.10052719154610551,0.012265722271562569,0.01285044387205067,0.07827415793981939,0.010062778701492404,0.010786471429472505,0.5793650793650794
7,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.89717698097229,1,"(0, 2)",7,1,False,False,False,False,False,False,0.6078481866369821,0.14692208625455871,0.16116241141163978,0.3451461094092557,0.07903124864949433,0.08656647268032845,0.237007874015748
8,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,3,1.2522921562194824,1,"(1, 3)",8,1,False,False,False,True,False,True,0.39215181336301785,0.06688830997225197,0.16075254665483033,0.36874112943310494,0.07293596962719227,0.12380497255772548,0.1682352941176471
9,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,3,0.9979491233825684,1,"(0, 3)",9,1,True,False,False,True,False,True,0.39215181336301785,0.06688830997225197,0.16050197782731776,0.38046937813380494,0.0699062223245216,0.14218938224268757,0.13405088062622314
10,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,2,0.4641759395599365,1,"(1, 2)",10,1,False,False,False,True,False,True,0.10052719154610551,0.012265722271562569,0.03202345062113726,0.2403614607018381,0.04105780001062617,0.0870525718905529,0.3172043010752688
11,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,1.305819034576416,1,"(1, 3)",11,1,False,False,False,False,False,False,0.6078481866369821,0.14692208625455871,0.18212909499600383,0.42419458593759163,0.09401580153177269,0.13461405682459382,0.10850024425989248
12,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,1,0.951530933380127,0,"(1, 2)",12,0,False,True,True,False,True,True,0.8994728084538944,0.498539002263731,0.7445435419607704,0.6618917287247438,0.29632679422995356,0.4396532718572897,-0.19582417582417586
13,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.9000000000000001,0,0.9121150970458984,0,"(0, 2)",13,0,False,False,True,False,False,True,0.981006551342516,0.8516069311563164,0.9915999467213079,0.821468619634571,0.5740007584407193,0.715660301553666,-0.5479550726407033
14,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.30000000000000004,3,0.8814020156860352,0,"(1, 3)",14,0,False,False,False,True,True,False,0.21168000944053236,0.7073185337505506,0.6920802479558605,0.5165557041301113,0.6406637148795973,0.7038695551047115,-0.12395165720564004
15,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-1.0,3,1.324265956878662,0,"(1, 3)",15,0,True,False,False,True,False,False,0.9876632737913976,0.9986140543932752,0.9934254054876789,0.7521166777111689,0.8196443466918505,0.848651898702677,-0.5619891964476456
16,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,1.2830660343170166,0,"(1, 3)",16,0,False,False,True,False,True,True,0.6078481866369821,0.933111690027748,0.9294570760549618,0.6799813314760433,0.8763788840601374,0.8890551038828047,-0.3309910734721905
17,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,0,0.7292771339416504,0,"(0, 2)",17,0,False,False,True,False,False,True,0.8994728084538944,0.9877342777284374,0.9796951553736083,0.7897279072648941,0.9320570056846441,0.934375475395201,-0.41549618145890393
18,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,1,0.6035919189453125,0,"(1, 2)",18,0,False,False,True,False,False,True,0.8994728084538944,0.9877342777284374,0.985512439379181,0.8446005671819801,0.9598957479029144,0.9599440549235815,-0.4577482519083096
19,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.8377618789672852,0,"(0, 2)",19,0,False,False,True,False,False,True,0.7883199905594676,0.9710287725511645,0.9673725510816302,0.816460225197281,0.9654622708443393,0.9636583100869853,-0.37887397551341156
20,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.5227110385894775,0,"(0, 2)",20,0,True,False,True,False,False,True,0.7883199905594676,0.9710287725511645,0.962698303754504,0.802390094460052,0.9682455243520692,0.9631783064629776,-0.3394369501466276
21,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,1,0.5750129222869873,0,"(1, 2)",21,0,False,False,True,False,False,True,0.8994728084538944,0.9877342777284374,0.9835968503284435,0.8509314746033071,0.9779899056867364,0.973387583263873,-0.4197185133545463
22,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,0,1.4499340057373047,0,"(1, 3)",22,0,False,False,False,False,True,False,0.8994728084538944,0.9877342777284374,0.9859449108926799,0.8752021473151801,0.9828620928692068,0.9796662485752269,-0.4598592662475744
23,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,1.3071660995483398,0,"(1, 3)",23,0,False,False,True,False,True,True,0.6078481866369821,0.933111690027748,0.9252816273002002,0.7415251510405414,0.9579868884831219,0.9524739346961372,-0.279929611674501
24,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.8840179443359375,0,"(1, 2)",24,0,False,False,False,True,True,False,0.39215181336301785,0.8530779137454413,0.7723501439380781,0.5668384717896421,0.9055323979877503,0.862412033949,-0.08996479451446499
25,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,3,0.7516601085662842,0,"(1, 3)",25,0,False,False,False,True,False,False,0.39215181336301785,0.8530779137454413,0.6214469591061091,0.47949513997329585,0.8793051550849631,0.7419294929368951,0.005017605573463659
26,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,1.1170120239257812,0,"(0, 3)",26,0,False,False,True,False,True,True,0.7883199905594676,0.9710287725511645,0.8466369326832864,0.6339075675673062,0.925166964501458,0.794283213590222,-0.14749119948582648
27,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,1,0.636267900466919,0,"(1, 3)",27,0,False,False,True,False,False,True,0.9555504531417355,0.9948579972909842,0.9868486042884705,0.794729011552734,0.9600124811558405,0.8905659096567083,-0.42374560180116894
28,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,2,0.87477707862854,0,"(1, 2)",28,0,False,False,False,True,True,False,0.6078481866369821,0.933111690027748,0.9257870294386813,0.7012885987467655,0.9465620855416875,0.9081764696132992,-0.2618728002975613
29,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,2,0.6779439449310303,1,"(0, 2)",29,1,True,True,False,True,False,True,0.10052719154610551,0.501460997736269,0.3708760673912207,0.4009078945869328,0.7240115412244456,0.6395262680018599,0.11906360056076867
30,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,3,1.2030079364776611,1,"(1, 3)",30,1,False,False,False,True,False,True,0.21168000944053236,0.7073185337505506,0.15006912111371004,0.3062939519256165,0.7156650374797248,0.3947976943298637,0.20953180036463945
31,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,1.0506460666656494,1,"(1, 2)",31,1,False,False,False,True,False,True,0.39215181336301785,0.8530779137454413,0.15399302782371396,0.3492228826643075,0.784371475644577,0.27439536102072215,0.1547659001568174
32,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.8999999999999999,2,0.5407788753509521,1,"(1, 2)",32,1,True,False,False,True,False,True,0.018993448657483984,0.14839306884368392,0.005532146473270511,0.18410816562245197,0.4663822721700928,0.13996375371569653,0.5273829501651653
33,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,2,0.6267759799957275,1,"(0, 2)",33,1,True,False,False,True,False,True,0.044449546858264494,0.005142002709015806,0.005394737539007418,0.11427885623222904,0.2357621374127066,0.07267924561951902,0.6136914750926303
35,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,3,0.7999951839447021,1,"(1, 3)",35,1,False,False,False,True,False,True,0.39215181336301785,0.06688830997225197,0.0698860348877837,0.2532153348057106,0.1513252236875644,0.07128264025357006,0.35684573753136484
36,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.9049420356750488,1,"(0, 3)",36,1,False,False,True,False,True,False,0.6078481866369821,0.14692208625455871,0.22257673974265105,0.43053176072650695,0.14912365497099747,0.14692969000031217,0.1284228687590344
37,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.7419052124023438,1,"(0, 2)",37,1,False,False,False,True,True,True,0.21168000944053236,0.028971227448835405,0.09372935801445413,0.3211058850819273,0.08904744120904222,0.12032952400699608,0.2142114343807656
38,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",1.0,2,0.5179080963134766,1,"(1, 2)",38,1,True,False,False,True,False,True,0.012336726208602404,0.0013859456067248715,0.002642265203320279,0.16672130564414153,0.04521669340756464,0.061485894604730036,0.6071057171932415
39,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,3,0.6222391128540039,1,"(1, 3)",39,1,False,False,False,True,False,True,0.10052719154610551,0.012265722271562569,0.012550858870351227,0.1336242485950031,0.028741207839503666,0.03701837673745162,0.5535528585964259
40,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,3,0.8134109973907471,1,"(0, 3)",40,1,True,False,False,True,False,True,0.10052719154610551,0.012265722271562569,0.013630701222060958,0.1170757200705242,0.020503465055518134,0.02532453897973502,0.5267764292981643
41,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.5,1,1.1787030696868896,1,"(1, 2)",41,1,False,False,True,False,True,False,0.8994728084538944,0.498539002263731,0.5274339216508617,0.5082742642625652,0.2595212336598419,0.2763792303155267,0.01338821464861519
42,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,3,1.2364609241485596,1,"(1, 3)",42,1,False,False,False,True,True,True,0.39215181336301785,0.06688830997225197,0.4132778798861098,0.4502130388127651,0.16320477181600315,0.34482855510084937,0.056694107324327336
43,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.5476398468017578,0,"(1, 2)",43,0,False,True,False,True,False,False,0.39215181336301785,0.06688830997225197,0.3279241804740775,0.42118242608788486,0.1150465408941166,0.3363763677874615,0.07834705366216864
44,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,1,1.0475029945373535,0,"(1, 3)",44,0,False,False,True,False,True,True,0.9555504531417355,0.7048930425445474,0.9243314241652829,0.6883664396148406,0.40996979171936554,0.6303538959764056,-0.31082647316896
45,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,0,0.47110795974731445,0,"(0, 3)",45,0,False,False,True,False,False,True,0.8994728084538944,0.9877342777284374,0.9790744011214254,0.7939196240343734,0.6988520347239179,0.8047141485489254,-0.40541323658448536
46,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,1,0.7822380065917969,0,"(1, 3)",46,0,False,False,True,False,False,True,0.9555504531417355,0.9948579972909842,0.9938893851485879,0.8747350385880568,0.8468550160074553,0.8993017668487593,-0.5527066182922469
47,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.7286479473114014,1,"(0, 3)",47,1,False,True,True,False,False,False,0.6078481866369821,0.933111690027748,0.9297154527081323,0.7412916126125176,0.8899833530176022,0.914508609778446,-0.3263533091461203
48,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.8999999999999999,2,1.0310211181640625,1,"(1, 2)",48,1,False,False,False,True,True,True,0.018993448657483984,0.14839306884368392,0.09466879299092283,0.38014253063499825,0.5191882109306404,0.5045887013846815,0.28682334542694415
