trial_count,FBDuration,actualFBOnsetTime,c_dis,context,response,rt,state,stim,trial_count,ts,rep_resp,switch,con_shape,con_orient,subj_switch,correct
1,0.5,0.5011379718780518,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,1,0.9282369613647461,0,"(1, 3)",1,0,False,False,True,False,True,True
2,0.5,0.5002529621124268,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,3,0.5693228244781494,0,"(1, 2)",2,0,False,False,False,False,True,False
3,0.5,0.5010440349578857,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.36476707458496094,0,"(1, 3)",3,0,False,False,True,False,True,True
4,0.5,0.5012578964233398,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.4673299789428711,0,"(0, 3)",4,0,False,False,True,False,False,True
5,0.5,0.5010759830474854,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.5197300910949707,0,"(1, 3)",5,0,True,False,False,False,True,False
6,0.5,0.5011429786682129,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,2,0.5522429943084717,0,"(1, 2)",6,0,False,False,False,True,False,False
7,0.5,0.5010819435119629,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,0,0.6146340370178223,0,"(0, 3)",7,0,False,False,True,False,True,True
8,0.5,0.5010800361633301,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.3459630012512207,0,"(1, 2)",8,0,False,False,True,False,False,True
9,0.5,0.5009210109710693,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,0,0.4882829189300537,0,"(1, 2)",9,0,False,False,False,False,True,False
10,0.5,0.5011959075927734,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,1,0.367495059967041,0,"(1, 3)",10,0,False,False,True,False,True,True
11,0.5,0.5010740756988525,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,0,0.47652697563171387,0,"(0, 3)",11,0,False,False,True,False,False,True
12,0.5,0.5010719299316406,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.5366220474243164,0,"(0, 3)",12,0,True,False,True,False,False,True
13,0.5,0.5010719299316406,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.38413000106811523,0,"(1, 3)",13,0,False,False,True,False,False,True
14,0.5,0.5004160404205322,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.35883116722106934,0,"(1, 3)",14,0,True,False,True,False,False,True
15,0.5,0.5011718273162842,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,1,0.3698859214782715,0,"(1, 3)",15,0,True,False,True,False,False,True
16,0.5,0.5012259483337402,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.40143513679504395,0,"(0, 2)",16,0,False,False,True,False,False,True
17,0.5,0.5002319812774658,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.5,1,0.6401739120483398,0,"(1, 2)",17,0,False,False,True,False,False,True
18,0.5,0.5002138614654541,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,0,0.4604830741882324,0,"(0, 2)",18,0,False,False,True,False,False,True
19,0.5,0.5011351108551025,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,0,0.41463208198547363,0,"(0, 2)",19,0,True,False,True,False,False,True
20,0.5,0.5017650127410889,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,0,0.40174317359924316,0,"(0, 2)",20,0,True,False,True,False,False,True
21,0.5,0.5012218952178955,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,1,0.5069220066070557,1,"(1, 2)",21,1,False,True,True,False,False,False
22,0.5,0.5001509189605713,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,0,0.5154359340667725,1,"(0, 2)",22,1,False,False,True,False,False,False
23,0.5,0.5011370182037354,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,0,0.5278499126434326,1,"(1, 2)",23,1,True,False,False,False,True,False
24,0.5,0.5004580020904541,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.39823007583618164,1,"(1, 3)",24,1,True,False,False,False,False,False
25,0.5,0.5011510848999023,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.2747220993041992,1,"(0, 2)",25,1,True,False,True,False,True,False
26,0.5,0.5001938343048096,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,2,0.37891721725463867,0,"(0, 2)",26,0,False,True,False,True,True,False
27,0.5,0.5004880428314209,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,3,0.3605990409851074,0,"(1, 2)",27,0,False,False,False,False,False,False
28,0.5,0.500277042388916,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.3422689437866211,0,"(0, 2)",28,0,False,False,True,False,True,True
29,0.5,0.5011758804321289,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,1,0.33014893531799316,1,"(0, 2)",29,1,False,True,False,False,True,False
30,0.5,0.5068569183349609,"{'mean': 0.29999999999999999, 'sd': 0.37}",1.0,0,0.39970898628234863,1,"(0, 2)",30,1,False,False,True,False,True,False
31,0.5,0.500230073928833,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,0,0.32545018196105957,1,"(0, 3)",31,1,True,False,True,False,False,False
32,0.5,0.500438928604126,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.33755993843078613,1,"(0, 3)",32,1,True,False,True,False,False,False
33,0.5,0.5011820793151855,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.8999999999999999,1,0.34677886962890625,1,"(1, 3)",33,1,False,False,True,False,False,False
34,0.5,0.5005338191986084,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,0,0.3472580909729004,1,"(0, 2)",34,1,False,False,True,False,False,False
35,0.5,0.5011758804321289,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,1,0.275954008102417,1,"(1, 2)",35,1,False,False,True,False,False,False
36,0.5,0.501060962677002,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,0,0.4350440502166748,1,"(0, 3)",36,1,False,False,True,False,False,False
37,0.5,0.5011880397796631,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.8999999999999999,1,0.24309301376342773,1,"(1, 3)",37,1,False,False,True,False,False,False
38,0.5,0.5010688304901123,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.30000000000000004,0,0.39139389991760254,0,"(0, 2)",38,0,False,True,True,False,False,True
39,0.5,0.501054048538208,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,1,0.3885369300842285,1,"(1, 2)",39,1,False,True,True,False,False,False
40,0.5,0.501197099685669,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,1,0.40375709533691406,1,"(1, 3)",40,1,True,False,True,False,False,False
41,0.5,0.5044329166412354,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,1,0.3069601058959961,1,"(1, 3)",41,1,True,False,True,False,False,False
42,0.5,0.5011229515075684,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,0,0.28006696701049805,1,"(0, 2)",42,1,False,False,True,False,False,False
43,0.5,0.5011141300201416,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.19062018394470215,1,"(0, 3)",43,1,False,False,False,False,True,False
44,0.5,0.5012118816375732,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.8999999999999999,1,0.23259496688842773,1,"(1, 2)",44,1,True,False,True,False,True,False
45,0.5,0.5006790161132812,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.30000000000000004,0,0.2912111282348633,0,"(0, 2)",45,0,False,True,True,False,False,True
46,0.5,0.5010449886322021,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.27143001556396484,0,"(0, 2)",46,0,False,False,False,False,True,False
47,0.5,0.500817060470581,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.2758650779724121,0,"(1, 3)",47,0,True,False,True,False,True,True
48,0.5,0.5002391338348389,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.3250739574432373,0,"(0, 2)",48,0,True,False,False,False,True,False
49,0.5,0.5007190704345703,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.32527899742126465,0,"(0, 3)",49,0,False,False,True,False,True,True
50,0.5,0.5010669231414795,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.30000000000000004,1,0.29012107849121094,0,"(1, 2)",50,0,False,False,True,False,False,True
51,0.5,0.5011961460113525,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.20045900344848633,0,"(0, 3)",51,0,False,False,True,False,False,True
52,0.5,0.5014500617980957,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,0,0.3472878932952881,0,"(0, 3)",52,0,True,False,True,False,False,True
53,0.5,0.5011241436004639,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,0,0.36707496643066406,0,"(0, 2)",53,0,True,False,True,False,False,True
54,0.5,0.5011308193206787,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,0,0.38278698921203613,0,"(1, 2)",54,0,True,False,False,False,True,False
55,0.5,0.5012340545654297,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.3496260643005371,0,"(1, 2)",55,0,False,False,True,False,True,True
56,0.5,0.501060962677002,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,0,0.2847418785095215,0,"(1, 3)",56,0,False,False,False,False,True,False
