,c_dis,context,state,stim,trial_count,ts,ignore,single,optimal,ignore_choice,single_choice,optimal_choice,ignore_noisy,single_noisy,optimal_noisy,ignore_noisy_choice,single_noisy_choice,optimal_noisy_choice
0,"{'sd': 0.37, 'mean': 0.29999999999999999}",0.30000000000000004,0,"(0, 3)",1,0,0.7883199905594676,0.7883199905594676,0.7883199905594676,1.0,1.0,1.0,0.7179259165694429,0.6609962358721319,0.6673777346869229,1.0,1.0,1.0
1,"{'sd': 0.37, 'mean': 0.29999999999999999}",-0.10000000000000009,0,"(1, 2)",2,0,0.39215181336301785,0.8530779137454413,0.6363778554914611,0.0,1.0,1.0,0.28541172583745816,0.9167408647448155,0.5541394522819802,0.0,1.0,1.0
2,"{'sd': 0.37, 'mean': 0.29999999999999999}",0.10000000000000009,0,"(1, 3)",3,0,0.6078481866369821,0.933111690027748,0.7071984809750193,1.0,1.0,1.0,0.6932793387082385,0.8175186108490626,0.8996586971619319,1.0,1.0,1.0
3,"{'sd': 0.37, 'mean': 0.29999999999999999}",0.30000000000000004,0,"(0, 3)",4,0,0.7883199905594676,0.9710287725511645,0.8812051944702062,1.0,1.0,1.0,0.6319184793672062,1.0,0.7061243352115837,1.0,1.0,1.0
4,"{'sd': 0.37, 'mean': -0.29999999999999999}",0.10000000000000009,1,"(1, 2)",5,1,0.6078481866369821,0.933111690027748,0.8648172333629632,1.0,1.0,1.0,0.6669294115971045,1.0,0.9799257767587862,1.0,1.0,1.0
5,"{'sd': 0.37, 'mean': -0.29999999999999999}",-0.30000000000000004,1,"(0, 2)",6,1,0.21168000944053236,0.7073185337505506,0.5053267081672017,0.0,1.0,1.0,0.106468776591747,0.5980643461219389,0.6843866846676497,0.0,1.0,1.0
6,"{'sd': 0.37, 'mean': -0.29999999999999999}",0.30000000000000004,1,"(1, 2)",7,1,0.7883199905594676,0.9710287725511645,0.7911504838800564,1.0,1.0,1.0,0.774006015590597,1.0,0.6223116348882967,1.0,1.0,1.0
7,"{'sd': 0.37, 'mean': -0.29999999999999999}",-0.9000000000000001,1,"(0, 3)",8,1,0.018993448657483928,0.14839306884368353,0.05045051305222611,0.0,0.0,0.0,0.0,5.454544111535564e-05,0.2308975597814795,0.0,0.0,0.0
8,"{'sd': 0.37, 'mean': -0.29999999999999999}",0.10000000000000009,1,"(1, 2)",9,1,0.6078481866369821,0.14692208625455871,0.2019705461653157,1.0,0.0,0.0,0.5294237195278888,0.17487643959123644,0.19585076658313474,1.0,0.0,0.0
9,"{'sd': 0.37, 'mean': -0.29999999999999999}",-0.10000000000000009,1,"(0, 2)",10,1,0.39215181336301785,0.06688830997225197,0.18602218584235042,0.0,0.0,0.0,0.3666492041651218,0.08561412270859735,0.03453238937277625,0.0,0.0,0.0
10,"{'sd': 0.37, 'mean': 0.29999999999999999}",0.5,0,"(1, 2)",11,0,0.8994728084538944,0.498539002263731,0.747713203450982,1.0,0.0,1.0,0.7897780540668204,0.5804284571840983,0.8057958921015944,1.0,1.0,1.0
11,"{'sd': 0.37, 'mean': 0.29999999999999999}",0.5,0,"(0, 3)",12,0,0.8994728084538944,0.498539002263731,0.9539103781392215,1.0,0.0,1.0,0.9220712301506687,0.5476482862918235,0.758471289211718,1.0,1.0,1.0
12,"{'sd': 0.37, 'mean': -0.29999999999999999}",-0.30000000000000004,1,"(0, 2)",13,1,0.21168000944053236,0.028971227448835405,0.6287110185886949,0.0,0.0,1.0,0.0737896502900631,0.01379038696994556,0.4616983675792514,0.0,0.0,0.0
13,"{'sd': 0.37, 'mean': -0.29999999999999999}",-0.5,1,"(1, 2)",14,1,0.10052719154610551,0.012265722271562569,0.14510389788808423,0.0,0.0,0.0,0.0021740909163202454,0.11494971190051316,0.20347749513610405,0.0,0.0,0.0
14,"{'sd': 0.37, 'mean': -0.29999999999999999}",0.30000000000000004,1,"(1, 2)",15,1,0.7883199905594676,0.29268146624944924,0.5065467473466608,1.0,0.0,1.0,0.8094857316257079,0.4690371311382125,0.5225026155713463,1.0,0.0,1.0
15,"{'sd': 0.37, 'mean': -0.29999999999999999}",-0.30000000000000004,1,"(0, 3)",16,1,0.21168000944053236,0.028971227448835405,0.21519714509343532,0.0,0.0,0.0,0.262914966977734,0.0,0.20193818814158024,0.0,0.0,0.0
16,"{'sd': 0.37, 'mean': -0.29999999999999999}",0.30000000000000004,1,"(0, 3)",17,1,0.7883199905594676,0.29268146624944924,0.5820332509916311,1.0,0.0,1.0,0.6235220355144481,0.37737833151039546,0.6524562177748066,1.0,0.0,1.0
17,"{'sd': 0.37, 'mean': -0.29999999999999999}",-0.30000000000000004,1,"(0, 3)",18,1,0.21168000944053236,0.028971227448835405,0.2590717525587711,0.0,0.0,0.0,0.23705786668539439,0.18334285346045015,0.10320798974745185,0.0,0.0,0.0
18,"{'sd': 0.37, 'mean': -0.29999999999999999}",-0.30000000000000004,1,"(0, 2)",19,1,0.21168000944053236,0.028971227448835405,0.10642393089007388,0.0,0.0,0.0,0.1442976763825397,0.0,0.1399743422866431,0.0,0.0,0.0
