trial_count,FB,c_dis,context,response,rt,state,stim,trial_count,ts,con_ts,con_stim,curr_ts,switch
1,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.4319933145332766, -0.4319933145332766, -0.4319933145332766]",0,0.5032600876875222,0,0,1,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
2,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.8940999390440174, -0.8940999390440174, -0.8940999390440174]",1,0.5031480863690376,0,1,2,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
3,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.9360323219687601, -0.9360323219687601, -0.9360323219687601]",1,0.5026639369316399,0,1,3,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
4,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.23967207198926, -0.23967207198926, -0.23967207198926]",1,0.5019856817089021,0,1,4,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
5,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.460642858512569, -0.460642858512569, -0.460642858512569]",0,0.5023252555401996,0,0,5,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
6,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.38373160673506324, -0.38373160673506324, -0.38373160673506324]",1,0.5022596610942855,0,1,6,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
7,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.02987703883870302, -0.02987703883870302, -0.02987703883870302]",1,0.502494819345884,0,1,7,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
8,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.7694465881673627, -0.7694465881673627, -0.7694465881673627]",0,0.5016162110259756,0,0,8,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
9,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.0992863792172369, -0.0992863792172369, -0.0992863792172369]",1,0.5018094246042892,0,1,9,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
10,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.7940492358045481, -0.7940492358045481, -0.7940492358045481]",0,0.5014551252825186,0,0,10,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
