trial_count,FB,c_dis,context,response,rt,state,stim,trial_count,ts,rep_resp,switch,con_shape,con_orient
1,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,0,0.5,0,"(0, 0)",1,0,False,False,True,True
2,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.5,1,0.5,0,"(1, 0)",2,0,False,False,True,False
3,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,0,0.5,0,"(0, 0)",3,0,False,False,True,True
4,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.30000000000000004,1,0.5,0,"(1, 0)",4,0,False,False,True,False
5,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,0,0.5,0,"(0, 0)",5,0,False,False,True,True
6,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.5,0,"(1, 0)",6,0,False,False,True,False
7,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,0,0.5,0,"(0, 1)",7,0,False,False,True,False
8,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,0,0.5,0,"(0, 1)",8,0,True,False,True,False
9,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,1,0.5,0,"(1, 1)",9,0,False,False,True,True
10,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,0,0.5,0,"(0, 1)",10,0,False,False,True,False
11,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.5,0,"(0, 0)",11,0,True,False,True,True
12,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-1.0,1,0.5,0,"(1, 0)",12,0,False,False,True,False
13,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.30000000000000004,1,0.5,0,"(1, 0)",13,0,True,False,True,False
14,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,0,0.5,1,"(0, 1)",14,1,False,True,True,False
15,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,1,0.5,0,"(1, 0)",15,0,False,True,True,False
16,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.5,0,"(0, 1)",16,0,False,False,True,False
17,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.9000000000000001,0,0.5,0,"(0, 1)",17,0,True,False,True,False
18,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,0,0.5,0,"(0, 0)",18,0,True,False,True,True
19,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,1,0.5,0,"(1, 0)",19,0,False,False,True,False
20,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.5,0,"(1, 0)",20,0,True,False,True,False
21,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.9000000000000001,0,0.5,0,"(0, 0)",21,0,False,False,True,True
22,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,1,0.5,0,"(1, 0)",22,0,False,False,True,False
23,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.5,0,"(1, 0)",23,0,True,False,True,False
24,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.7,1,0.5,0,"(1, 1)",24,0,True,False,True,True
25,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.5,0,"(1, 1)",25,0,True,False,True,True
26,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,1,0.5,0,"(1, 0)",26,0,True,False,True,False
27,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,1,0.5,0,"(1, 0)",27,0,True,False,True,False
28,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,1,0.5,1,"(1, 1)",28,1,True,True,True,True
29,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.5,1,"(1, 0)",29,1,True,False,True,False
30,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,1,0.5,1,"(1, 1)",30,1,True,False,True,True
31,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,0,0.5,1,"(0, 1)",31,1,False,False,True,False
32,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,0,0.5,1,"(0, 1)",32,1,True,False,True,False
33,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,1,0.5,1,"(1, 1)",33,1,False,False,True,True
34,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,0,0.5,0,"(0, 0)",34,0,False,True,True,True
35,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.5,0,"(1, 0)",35,0,False,False,True,False
36,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-1.0,0,0.5,0,"(0, 0)",36,0,False,False,True,True
37,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.5,0,"(0, 0)",37,0,True,False,True,True
38,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,0,0.5,0,"(0, 1)",38,0,True,False,True,False
39,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,1,0.5,0,"(1, 0)",39,0,False,False,True,False
40,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.5,0,"(0, 1)",40,0,False,False,True,False
41,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.5,0,"(1, 0)",41,0,False,False,True,False
42,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,0,0.5,0,"(0, 1)",42,0,False,False,True,False
43,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.5,0,"(0, 0)",43,0,True,False,True,True
44,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,0,0.5,0,"(0, 0)",44,0,True,False,True,True
45,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.5,0,"(0, 0)",45,0,True,False,True,True
