trial_count,FB,c_dis,context,response,rt,state,stim,trial_count,ts,rep_resp,switch,con_shape,con_orient
1,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.8999999999999999,0,0.5,1,"(0, 0)",1,1,False,False,True,True
2,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,0,0.5,1,"(0, 0)",2,1,True,False,True,True
3,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,1,0.5,1,"(1, 1)",3,1,False,False,True,True
4,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.8999999999999999,0,0.5,1,"(0, 0)",4,1,False,False,True,True
5,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,0,0.5,1,"(0, 0)",5,1,True,False,True,True
6,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,0,0.5,1,"(0, 1)",6,1,True,False,True,False
7,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,1,0.5,1,"(1, 1)",7,1,False,False,True,True
8,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,0,0.5,1,"(0, 0)",8,1,False,False,True,True
9,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.5,1,"(0, 1)",9,1,True,False,True,False
10,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,0,0.5,1,"(0, 0)",10,1,True,False,True,True
11,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.8999999999999999,0,0.5,1,"(0, 0)",11,1,True,False,True,True
12,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,0,0.5,1,"(0, 0)",12,1,True,False,True,True
13,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,1,0.5,1,"(1, 0)",13,1,False,False,True,False
14,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,0,0.5,1,"(0, 0)",14,1,False,False,True,True
15,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.5,1,"(1, 0)",15,1,False,False,True,False
16,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,0,0.5,1,"(0, 0)",16,1,False,False,True,True
17,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,0,0.5,1,"(0, 1)",17,1,True,False,True,False
18,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,0,0.5,1,"(0, 1)",18,1,True,False,True,False
19,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,0,0.5,1,"(0, 1)",19,1,True,False,True,False
20,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.8999999999999999,0,0.5,1,"(0, 1)",20,1,True,False,True,False
21,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,0,0.5,1,"(0, 1)",21,1,True,False,True,False
22,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,1,0.5,1,"(1, 1)",22,1,False,False,True,True
23,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,0,0.5,1,"(0, 0)",23,1,False,False,True,True
24,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,0,0.5,1,"(0, 1)",24,1,True,False,True,False
25,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,1,0.5,1,"(1, 0)",25,1,False,False,True,False
26,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,0,0.5,1,"(0, 1)",26,1,False,False,True,False
