trial_count,FB,c_dis,context,response,rt,state,stim,trial_count,ts,rep_resp,switch,con_shape,con_orient,correct
1,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.5,1,"(1, 2)",1,0,False,False,True,False,True
2,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,0,0.5,1,"(0, 3)",2,0,False,False,True,False,True
3,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.5,1,"(1, 3)",3,0,False,False,True,False,True
4,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,0,0.5,1,"(0, 3)",4,0,False,False,True,False,True
5,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,0,0.5,1,"(0, 3)",5,0,True,False,True,False,True
6,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,1,0.5,1,"(1, 3)",6,0,False,False,True,False,True
7,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.5,1,"(1, 2)",7,0,True,False,True,False,True
8,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,0,0.5,1,"(0, 3)",8,0,False,False,True,False,True
9,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.9000000000000001,0,0.5,1,"(0, 2)",9,0,True,False,True,False,True
10,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.5,1,"(1, 2)",10,0,False,False,True,False,True
11,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.5,1,"(1, 3)",11,1,True,True,True,False,False
12,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.5,1,"(0, 3)",12,1,False,False,True,False,False
13,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,1,0.5,1,"(1, 3)",13,0,False,True,True,False,True
14,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,1,0.5,1,"(1, 3)",14,1,True,True,True,False,False
15,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,3,0.5,1,"(0, 3)",15,1,False,False,False,True,True
16,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,2,0.5,1,"(1, 2)",16,1,False,False,False,True,True
17,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,2,0.5,1,"(0, 2)",17,1,True,False,False,True,True
18,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,3,0.5,1,"(0, 3)",18,1,False,False,False,True,True
19,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.5,1,"(0, 2)",19,1,False,False,False,True,True
20,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.5,1,"(1, 2)",20,1,True,False,False,True,True
21,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,3,0.5,1,"(1, 3)",21,1,False,False,False,True,True
22,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.5,1,"(1, 2)",22,1,False,False,False,True,True
23,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,3,0.5,1,"(0, 3)",23,1,False,False,False,True,True
24,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,3,0.5,1,"(0, 3)",24,1,True,False,False,True,True
25,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,2,0.5,1,"(0, 2)",25,1,False,False,False,True,True
26,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.5,1,"(1, 2)",26,1,True,False,False,True,True
27,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,3,0.5,1,"(1, 3)",27,1,False,False,False,True,True
28,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,2,0.5,1,"(1, 2)",28,1,False,False,False,True,True
29,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,2,0.5,1,"(0, 2)",29,1,True,False,False,True,True
